,sno,sna,latitude,longitude
74080,500101027,YouBike2.0_臺灣科技大學後門,25.01182,121.54165
73852,500101026,YouBike2.0_公館公園,25.01137,121.54062
73222,500101025,YouBike2.0_臺灣科技大學側門,25.01295,121.53973
71164,500101219,YouBike2.0_羅斯福路四段113巷19弄口,25.01027,121.53998
74079,500101024,YouBike2.0_臺灣科技大學正門,25.01451,121.54142
74281,500119081,YouBike2.0_臺大教研館北側,25.01337,121.53909
70624,500101029,YouBike2.0_臺大環研大樓,25.01234,121.54503
73446,500101028,YouBike2.0_臺大醫學院附設癌醫中心,25.01426,121.54382
69675,500119062,YouBike2.0_臺大公館停車場西北側,25.01345,121.53798
74690,500119092,YouBike2.0_臺大管理學院一館,25.01436,121.53828
